date,value_usd
1990-01-01,46129385404.87
1990-02-01,40004720213.70
1990-03-01,40442396971.39
1990-04-01,34338613108.03
1990-05-01,34995361685.61
1990-06-01,31427558573.31
1990-07-01,36736352676.74
1990-08-01,57540665203.47
1990-09-01,67167659490.04
1990-10-01,73823961470.38
1990-11-01,65395728591.93
1990-12-01,57939267991.53
1991-01-01,51884298370.45
1991-02-01,37710047277.64
1991-03-01,39448511170.91
1991-04-01,39294557316.03
1991-05-01,40906676230.70
1991-06-01,37842916561.76
1991-07-01,41956768630.66
1991-08-01,42776740276.59
1991-09-01,42048029545.92
1991-10-01,48017473589.66
1991-11-01,44572582052.63
1991-12-01,40896678616.28
1992-01-01,39211226429.19
1992-02-01,36778269063.57
1992-03-01,38274397030.99
1992-04-01,39009644198.26
1992-05-01,40640742657.61
1992-06-01,42982945986.92
1992-07-01,43365187294.95
1992-08-01,41573115911.75
1992-09-01,42292663300.98
1992-10-01,43984817423.18
1992-11-01,40555638259.34
1992-12-01,40884124844.92
1993-01-01,36923703973.43
1993-02-01,37077564384.54
1993-03-01,41771658460.44
1993-04-01,38429478935.44
1993-05-01,37801097599.07
1993-06-01,36375196463.56
1993-07-01,35428672618.40
1993-08-01,35136613064.91
1993-09-01,33615520959.29
1993-10-01,36018131436.92
1993-11-01,33140455354.23
1993-12-01,31086198904.69
1994-01-01,30790709680.84
1994-02-01,28204420384.48
1994-03-01,30450651094.28
1994-04-01,31790074837.16
1994-05-01,34525620515.96
1994-06-01,36201629523.50
1994-07-01,38631806932.62
1994-08-01,37239206268.87
1994-09-01,34098637423.31
1994-10-01,36392981504.53
1994-11-01,36952911224.51
1994-12-01,36827691527.38
1995-01-01,37220323524.63
1995-02-01,35962678678.42
1995-03-01,39106351457.42
1995-04-01,39428564000.65
1995-05-01,39865999770.26
1995-06-01,36789555734.17
1995-07-01,34622749363.94
1995-08-01,36606614027.62
1995-09-01,36380258727.63
1995-10-01,36095747353.01
1995-11-01,37749331452.79
1995-12-01,41889630531.12
1996-01-01,41245068258.13
1996-02-01,40082154850.78
1996-03-01,46436296855.20
1996-04-01,46798930184.04
1996-05-01,43346524169.89
1996-06-01,40492313269.78
1996-07-01,44924608255.08
1996-08-01,46732172814.64
1996-09-01,49472661436.32
1996-10-01,55767072062.27
1996-11-01,51045153018.79
1996-12-01,56088758796.19
1997-01-01,55729440643.33
1997-02-01,44535745314.90
1997-03-01,44514275962.68
1997-04-01,40539038865.46
1997-05-01,43619013991.78
1997-06-01,39718332114.48
1997-07-01,43198247955.67
1997-08-01,42725980573.54
1997-09-01,41917743623.05
1997-10-01,47556697364.99
1997-11-01,43552340271.50
1997-12-01,41951578601.75
1998-01-01,36143828498.09
1998-02-01,31424810704.42
1998-03-01,32501146284.23
1998-04-01,31518270019.20
1998-05-01,32094677806.24
1998-06-01,28561192080.48
1998-07-01,30084274186.18
1998-08-01,28702874361.61
1998-09-01,31226908623.39
1998-10-01,31381016459.67
1998-11-01,27176818913.03
1998-12-01,25398860668.02
1999-01-01,27280232454.61
1999-02-01,24082248703.91
1999-03-01,32693030544.46
1999-04-01,36186194754.03
1999-05-01,36774978088.64
1999-06-01,37933219537.31
1999-07-01,45192453564.59
1999-08-01,47939790806.32
1999-09-01,52223958505.40
1999-10-01,52294205013.91
1999-11-01,57042713429.98
1999-12-01,63545123403.45
2000-01-01,61734077573.29
2000-02-01,65432446217.24
2000-03-01,69177970519.09
2000-04-01,54091509937.13
2000-05-01,66172450876.19
2000-06-01,70423786646.23
2000-07-01,68548336765.63
2000-08-01,74779847960.82
