date,value
2013-03-01,96.221924
2013-04-01,96.726967
2013-05-01,96.867691
2013-06-01,96.814529
2013-07-01,96.054848
2013-08-01,94.851532
2013-09-01,94.852493
2013-10-01,94.464920
2013-11-01,93.382416
2013-12-01,93.054756
2014-01-01,93.752594
2014-02-01,94.654358
2014-03-01,94.292870
2014-04-01,95.320290
2014-05-01,96.484955
2014-06-01,96.541977
2014-07-01,95.981392
2014-08-01,96.645386
2014-09-01,97.752060
2014-10-01,99.363251
2014-11-01,100.610062
2014-12-01,99.936394
2015-01-01,101.787292
2015-02-01,103.155869
2015-03-01,101.529221
2015-04-01,103.640114
2015-05-01,102.751877
2015-06-01,102.343033
2015-07-01,104.558304
2015-08-01,105.124687
2015-09-01,105.052193
2015-10-01,106.139908
2015-11-01,105.918480
2015-12-01,107.154442
2016-01-01,107.116394
2016-02-01,107.669510
2016-03-01,108.700615
2016-04-01,107.977768
2016-05-01,108.174820
2016-06-01,108.826454
2016-07-01,109.666367
2016-08-01,110.034126
2016-09-01,110.385307
2016-10-01,110.683815
2016-11-01,108.958153
2016-12-01,108.007034
2017-01-01,108.160187
2017-02-01,108.408936
2017-03-01,108.108482
2017-04-01,107.294914
2017-05-01,106.558403
2017-06-01,107.040306
2017-07-01,106.993484
2017-08-01,107.199310
2017-09-01,107.178833
2017-10-01,106.597420
2017-11-01,106.520355
2017-12-01,106.706688
2018-01-01,107.154442
2018-02-01,107.935829
2018-03-01,108.488930
2018-04-01,109.606865
2018-05-01,109.402000
2018-06-01,110.091690
2018-07-01,110.639923
2018-08-01,110.679916
2018-09-01,110.942329
2018-10-01,111.505196
2018-11-01,111.944176
2018-12-01,113.737152
2019-01-01,113.864937
2019-02-01,113.591797
2019-03-01,113.999557
2019-04-01,113.165512
2019-05-01,114.091263
2019-06-01,114.293190
2019-07-01,114.807274
2019-08-01,115.296989
2019-09-01,115.498917
2019-10-01,115.070671
2019-11-01,115.865707
2019-12-01,116.915344
2020-01-01,117.840134
2020-02-01,118.976585
2020-03-01,120.175484
2020-04-01,123.338081
2020-05-01,120.857361
2020-06-01,119.007812
2020-07-01,118.773689
2020-08-01,117.536751
2020-09-01,117.743553
2020-10-01,117.998161
2020-11-01,117.827454
2020-12-01,118.340569
2021-01-01,118.436172
2021-02-01,118.531769
2021-03-01,118.947319
2021-04-01,119.597015
2021-05-01,119.891624
2021-06-01,120.497414
2021-07-01,121.768494
2021-08-01,121.970421
2021-09-01,122.278679
2021-10-01,121.631920
2021-11-01,122.454269
2021-12-01,123.380997
2022-01-01,124.341873
2022-02-01,123.901924
2022-03-01,123.865829
2022-04-01,124.258965
2022-05-01,124.699890
2022-06-01,124.596489
2022-07-01,125.351517
2022-08-01,126.335800
2022-09-01,125.625641
2022-10-01,126.491898
2022-11-01,125.360298
2022-12-01,125.941704
2023-01-01,125.682205
2023-02-01,125.795364
2023-03-01,126.308479
2023-04-01,126.947449
2023-05-01,128.003922
2023-06-01,128.307312
2023-07-01,128.500458
2023-08-01,129.107224
2023-09-01,128.651672
2023-10-01,128.831146
2023-11-01,128.865295
2023-12-01,130.096390
2024-01-01,130.912872
2024-02-01,131.323578
2024-03-01,131.618179
2024-04-01,131.997635
2024-05-01,132.686371
2024-06-01,133.545776
2024-07-01,134.289108
2024-08-01,134.410065
2024-09-01,134.467621
2024-10-01,135.033432
2024-11-01,136.121109
2024-12-01,137.757034
2025-01-01,138.030167
2025-02-01,136.818588
2025-03-01,136.753235
2025-04-01,137.822388
2025-05-01,137.620468
2025-06-01,138.113083
2025-07-01,137.851654
2025-08-01,137.690689
2025-09-01,138.012421
2025-10-01,138.664902
2025-11-01,138.505234
2025-12-01,138.723785
2026-01-01,139.053528
2026-02-01,139.319885
2026-03-01,139.694946
2026-04-01,140.061829
2026-05-01,140.684204
2026-06-01,140.792007
2026-07-01,140.854004
